question,answer,type,scoring_method,tolerance
NAVER 설립일은?,1999년 06월 02일,qualitative_retrieval,llm_judge,
KB금융 대표이사는?,양종희,qualitative_retrieval,llm_judge,
KB금융 결산월은?,12월,qualitative_retrieval,llm_judge,
KB금융 설립일은?,2008년 09월 29일,qualitative_retrieval,llm_judge,
삼성생명 대표이사는?,홍원학,qualitative_retrieval,llm_judge,
삼성생명 결산월은?,12월,qualitative_retrieval,llm_judge,
삼성생명 설립일은?,1957년 04월 04일,qualitative_retrieval,llm_judge,
삼성전자와 SK하이닉스 중 2024년 매출액이 더 높은 기업은?,삼성전자 (300.87조원 vs 66.19조원),comparison,llm_judge,
삼성전자와 SK하이닉스 중 2024년 영업이익이 더 높은 기업은?,삼성전자 (32.73조원 vs 23.47조원),comparison,llm_judge,
삼성전자와 SK하이닉스 중 2024년 당기순이익이 더 높은 기업은?,삼성전자 (34.45조원 vs 19.80조원),comparison,llm_judge,
삼성전자와 SK하이닉스 중 2024년 자산총계이 더 높은 기업은?,삼성전자 (514.53조원 vs 119.86조원),comparison,llm_judge,
삼성전자와 SK하이닉스 중 2023년 매출액이 더 높은 기업은?,삼성전자 (258.94조원 vs 32.77조원),comparison,llm_judge,
삼성전자와 SK하이닉스 중 2023년 영업이익이 더 높은 기업은?,삼성전자 (6.57조원 vs -7.73조원),comparison,llm_judge,
삼성전자와 SK하이닉스 중 2023년 당기순이익이 더 높은 기업은?,삼성전자 (15.49조원 vs -9.14조원),comparison,llm_judge,
삼성전자와 SK하이닉스 중 2023년 자산총계이 더 높은 기업은?,삼성전자 (455.91조원 vs 100.33조원),comparison,llm_judge,
현대자동차와 기아 중 2024년 매출액이 더 높은 기업은?,현대자동차 (175.23조원 vs 107.45조원),comparison,llm_judge,
현대자동차와 기아 중 2024년 영업이익이 더 높은 기업은?,현대자동차 (14.24조원 vs 12.67조원),comparison,llm_judge,
현대자동차와 기아 중 2024년 당기순이익이 더 높은 기업은?,현대자동차 (13.23조원 vs 9.78조원),comparison,llm_judge,
현대자동차와 기아 중 2024년 자산총계이 더 높은 기업은?,현대자동차 (339.80조원 vs 92.76조원),comparison,llm_judge,
현대자동차와 기아 중 2023년 매출액이 더 높은 기업은?,현대자동차 (162.66조원 vs 99.81조원),comparison,llm_judge,
현대자동차와 기아 중 2023년 영업이익이 더 높은 기업은?,현대자동차 (15.13조원 vs 11.61조원),comparison,llm_judge,
현대자동차와 기아 중 2023년 당기순이익이 더 높은 기업은?,현대자동차 (12.27조원 vs 8.78조원),comparison,llm_judge,
현대자동차와 기아 중 2023년 자산총계이 더 높은 기업은?,현대자동차 (282.46조원 vs 80.63조원),comparison,llm_judge,
삼성전자와 현대자동차 중 2024년 매출액이 더 높은 기업은?,삼성전자 (300.87조원 vs 175.23조원),comparison,llm_judge,
삼성전자와 현대자동차 중 2024년 영업이익이 더 높은 기업은?,삼성전자 (32.73조원 vs 14.24조원),comparison,llm_judge,
삼성전자와 현대자동차 중 2024년 당기순이익이 더 높은 기업은?,삼성전자 (34.45조원 vs 13.23조원),comparison,llm_judge,
삼성전자와 현대자동차 중 2024년 자산총계이 더 높은 기업은?,삼성전자 (514.53조원 vs 339.80조원),comparison,llm_judge,
삼성전자와 현대자동차 중 2023년 매출액이 더 높은 기업은?,삼성전자 (258.94조원 vs 162.66조원),comparison,llm_judge,
삼성전자와 현대자동차 중 2023년 영업이익이 더 높은 기업은?,현대자동차 (6.57조원 vs 15.13조원),comparison,llm_judge,
삼성전자와 현대자동차 중 2023년 당기순이익이 더 높은 기업은?,삼성전자 (15.49조원 vs 12.27조원),comparison,llm_judge,
삼성전자와 현대자동차 중 2023년 자산총계이 더 높은 기업은?,삼성전자 (455.91조원 vs 282.46조원),comparison,llm_judge,
KB금융와 삼성생명 중 2024년 영업이익이 더 높은 기업은?,KB금융 (8.05조원 vs 2.50조원),comparison,llm_judge,
KB금융와 삼성생명 중 2024년 당기순이익이 더 높은 기업은?,KB금융 (5.03조원 vs 2.26조원),comparison,llm_judge,
KB금융와 삼성생명 중 2024년 자산총계이 더 높은 기업은?,KB금융 (757.85조원 vs 312.22조원),comparison,llm_judge,
KB금융와 삼성생명 중 2023년 영업이익이 더 높은 기업은?,KB금융 (6.39조원 vs 2.40조원),comparison,llm_judge,
KB금융와 삼성생명 중 2023년 당기순이익이 더 높은 기업은?,KB금융 (4.53조원 vs 2.03조원),comparison,llm_judge,
KB금융와 삼성생명 중 2023년 자산총계이 더 높은 기업은?,KB금융 (715.73조원 vs 314.66조원),comparison,llm_judge,
LG에너지솔루션와 SK하이닉스 중 2024년 매출액이 더 높은 기업은?,SK하이닉스 (25.62조원 vs 66.19조원),comparison,llm_judge,
LG에너지솔루션와 SK하이닉스 중 2024년 영업이익이 더 높은 기업은?,"SK하이닉스 (5,753.87억원 vs 23.47조원)",comparison,llm_judge,
LG에너지솔루션와 SK하이닉스 중 2024년 당기순이익이 더 높은 기업은?,"SK하이닉스 (3,386.02억원 vs 19.80조원)",comparison,llm_judge,
LG에너지솔루션와 SK하이닉스 중 2024년 자산총계이 더 높은 기업은?,SK하이닉스 (60.31조원 vs 119.86조원),comparison,llm_judge,
LG에너지솔루션와 SK하이닉스 중 2023년 매출액이 더 높은 기업은?,LG에너지솔루션 (33.75조원 vs 32.77조원),comparison,llm_judge,
LG에너지솔루션와 SK하이닉스 중 2023년 영업이익이 더 높은 기업은?,LG에너지솔루션 (2.16조원 vs -7.73조원),comparison,llm_judge,
LG에너지솔루션와 SK하이닉스 중 2023년 당기순이익이 더 높은 기업은?,LG에너지솔루션 (1.64조원 vs -9.14조원),comparison,llm_judge,
LG에너지솔루션와 SK하이닉스 중 2023년 자산총계이 더 높은 기업은?,SK하이닉스 (45.44조원 vs 100.33조원),comparison,llm_judge,
삼성전자와 KB금융 중 2024년 영업이익이 더 높은 기업은?,삼성전자 (32.73조원 vs 8.05조원),comparison,llm_judge,
삼성전자와 KB금융 중 2024년 당기순이익이 더 높은 기업은?,삼성전자 (34.45조원 vs 5.03조원),comparison,llm_judge,
삼성전자와 KB금융 중 2024년 자산총계이 더 높은 기업은?,KB금융 (514.53조원 vs 757.85조원),comparison,llm_judge,
삼성전자와 KB금융 중 2023년 영업이익이 더 높은 기업은?,삼성전자 (6.57조원 vs 6.39조원),comparison,llm_judge,
삼성전자와 KB금융 중 2023년 당기순이익이 더 높은 기업은?,삼성전자 (15.49조원 vs 4.53조원),comparison,llm_judge,
삼성전자와 KB금융 중 2023년 자산총계이 더 높은 기업은?,KB금융 (455.91조원 vs 715.73조원),comparison,llm_judge,
현대자동차와 LG에너지솔루션 중 2024년 매출액이 더 높은 기업은?,현대자동차 (175.23조원 vs 25.62조원),comparison,llm_judge,
현대자동차와 LG에너지솔루션 중 2024년 영업이익이 더 높은 기업은?,"현대자동차 (14.24조원 vs 5,753.87억원)",comparison,llm_judge,
현대자동차와 LG에너지솔루션 중 2024년 당기순이익이 더 높은 기업은?,"현대자동차 (13.23조원 vs 3,386.02억원)",comparison,llm_judge,
현대자동차와 LG에너지솔루션 중 2024년 자산총계이 더 높은 기업은?,현대자동차 (339.80조원 vs 60.31조원),comparison,llm_judge,
현대자동차와 LG에너지솔루션 중 2023년 매출액이 더 높은 기업은?,현대자동차 (162.66조원 vs 33.75조원),comparison,llm_judge,
현대자동차와 LG에너지솔루션 중 2023년 영업이익이 더 높은 기업은?,현대자동차 (15.13조원 vs 2.16조원),comparison,llm_judge,
현대자동차와 LG에너지솔루션 중 2023년 당기순이익이 더 높은 기업은?,현대자동차 (12.27조원 vs 1.64조원),comparison,llm_judge,
현대자동차와 LG에너지솔루션 중 2023년 자산총계이 더 높은 기업은?,현대자동차 (282.46조원 vs 45.44조원),comparison,llm_judge,
카카오와 기아 중 2024년 매출액이 더 높은 기업은?,기아 (7.87조원 vs 107.45조원),comparison,llm_judge,
카카오와 기아 중 2024년 영업이익이 더 높은 기업은?,"기아 (4,602.12억원 vs 12.67조원)",comparison,llm_judge,
카카오와 기아 중 2024년 당기순이익이 더 높은 기업은?,"기아 (-1,618.71억원 vs 9.78조원)",comparison,llm_judge,
카카오와 기아 중 2024년 자산총계이 더 높은 기업은?,기아 (25.77조원 vs 92.76조원),comparison,llm_judge,
카카오와 기아 중 2023년 매출액이 더 높은 기업은?,기아 (7.56조원 vs 99.81조원),comparison,llm_judge,
카카오와 기아 중 2023년 영업이익이 더 높은 기업은?,"기아 (4,608.58억원 vs 11.61조원)",comparison,llm_judge,
카카오와 기아 중 2023년 당기순이익이 더 높은 기업은?,기아 (-1.82조원 vs 8.78조원),comparison,llm_judge,
카카오와 기아 중 2023년 자산총계이 더 높은 기업은?,기아 (25.18조원 vs 80.63조원),comparison,llm_judge,
삼성전자 최근 3년간 매출액 추이는?,"2022년 302.2조원, 2023년 258.9조원, 2024년 300.9조원 (V자 회복)",trends,llm_judge,
삼성전자 최근 3년간 영업이익 추이는?,"2022년 43.4조원, 2023년 6.6조원, 2024년 32.7조원 (V자 회복)",trends,llm_judge,
삼성전자 최근 3년간 당기순이익 추이는?,"2022년 55.7조원, 2023년 15.5조원, 2024년 34.5조원 (V자 회복)",trends,llm_judge,
현대자동차 최근 3년간 매출액 추이는?,"2022년 142.2조원, 2023년 162.7조원, 2024년 175.2조원 (지속 성장)",trends,llm_judge,
현대자동차 최근 3년간 영업이익 추이는?,"2022년 9.8조원, 2023년 15.1조원, 2024년 14.2조원 (하락 전환)",trends,llm_judge,
현대자동차 최근 3년간 당기순이익 추이는?,"2022년 8.0조원, 2023년 12.3조원, 2024년 13.2조원 (지속 성장)",trends,llm_judge,
SK하이닉스 최근 3년간 매출액 추이는?,"2022년 44.6조원, 2023년 32.8조원, 2024년 66.2조원 (V자 회복)",trends,llm_judge,
SK하이닉스 최근 3년간 영업이익 추이는?,"2022년 6.8조원, 2023년 -7.7조원, 2024년 23.5조원 (흑자전환)",trends,llm_judge,
SK하이닉스 최근 3년간 당기순이익 추이는?,"2022년 2.2조원, 2023년 -9.1조원, 2024년 19.8조원 (흑자전환)",trends,llm_judge,
카카오 최근 3년간 매출액 추이는?,"2022년 6.8조원, 2023년 7.6조원, 2024년 7.9조원 (지속 성장)",trends,llm_judge,
카카오 최근 3년간 영업이익 추이는?,"2022년 5,693.9억원, 2023년 4,608.6억원, 2024년 4,602.1억원 (지속 감소)",trends,llm_judge,
카카오 최근 3년간 당기순이익 추이는?,"2022년 1.1조원, 2023년 -1.8조원, 2024년 -1,618.7억원 (V자 회복)",trends,llm_judge,
기아 최근 3년간 매출액 추이는?,"2022년 86.6조원, 2023년 99.8조원, 2024년 107.4조원 (지속 성장)",trends,llm_judge,
기아 최근 3년간 영업이익 추이는?,"2022년 7.2조원, 2023년 11.6조원, 2024년 12.7조원 (지속 성장)",trends,llm_judge,
기아 최근 3년간 당기순이익 추이는?,"2022년 5.4조원, 2023년 8.8조원, 2024년 9.8조원 (지속 성장)",trends,llm_judge,
LG에너지솔루션 최근 3년간 매출액 추이는?,"2022년 25.6조원, 2023년 33.7조원, 2024년 25.6조원 (하락 전환)",trends,llm_judge,
LG에너지솔루션 최근 3년간 영업이익 추이는?,"2022년 1.2조원, 2023년 2.2조원, 2024년 5,753.9억원 (하락 전환)",trends,llm_judge,
LG에너지솔루션 최근 3년간 당기순이익 추이는?,"2022년 7,798.3억원, 2023년 1.6조원, 2024년 3,386.0억원 (하락 전환)",trends,llm_judge,
NAVER 최근 3년간 매출액 추이는?,"2022년 8.2조원, 2023년 9.7조원, 2024년 10.7조원 (지속 성장)",trends,llm_judge,
NAVER 최근 3년간 영업이익 추이는?,"2022년 1.3조원, 2023년 1.5조원, 2024년 2.0조원 (지속 성장)",trends,llm_judge,
NAVER 최근 3년간 당기순이익 추이는?,"2022년 6,731.8억원, 2023년 9,850.2억원, 2024년 1.9조원 (지속 성장)",trends,llm_judge,
KB금융 최근 3년간 영업이익 추이는?,"2022년 5.2조원, 2023년 6.4조원, 2024년 8.0조원 (지속 성장)",trends,llm_judge,
KB금융 최근 3년간 당기순이익 추이는?,"2022년 3.9조원, 2023년 4.5조원, 2024년 5.0조원 (지속 성장)",trends,llm_judge,
삼성생명 최근 3년간 영업이익 추이는?,"2022년 2.2조원, 2023년 2.4조원, 2024년 2.5조원 (지속 성장)",trends,llm_judge,
삼성생명 최근 3년간 당기순이익 추이는?,"2022년 2.3조원, 2023년 2.0조원, 2024년 2.3조원 (V자 회복)",trends,llm_judge,
삼성전자 2024년 영업이익률은?,약 10.9%,derived_ratios,numerical,0.05
삼성전자 2024년 부채비율은?,약 27.9%,derived_ratios,numerical,0.05
삼성전자 2024년 순이익률은?,약 11.5%,derived_ratios,numerical,0.05
현대자동차 2024년 영업이익률은?,약 8.1%,derived_ratios,numerical,0.05
현대자동차 2024년 부채비율은?,약 182.5%,derived_ratios,numerical,0.05
현대자동차 2024년 순이익률은?,약 7.5%,derived_ratios,numerical,0.05
SK하이닉스 2024년 영업이익률은?,약 35.5%,derived_ratios,numerical,0.05
SK하이닉스 2024년 부채비율은?,약 62.2%,derived_ratios,numerical,0.05
SK하이닉스 2024년 순이익률은?,약 29.9%,derived_ratios,numerical,0.05
카카오 2024년 영업이익률은?,약 5.8%,derived_ratios,numerical,0.05
카카오 2024년 부채비율은?,약 84.8%,derived_ratios,numerical,0.05
카카오 2024년 순이익률은?,약 -2.1%,derived_ratios,numerical,0.05
기아 2024년 영업이익률은?,약 11.8%,derived_ratios,numerical,0.05
기아 2024년 부채비율은?,약 66.1%,derived_ratios,numerical,0.05
